,time,price,hash,spot,value,delta
1,23.0,101,2b1cfb2b0f39fdf1cbbf5feafd2e560a,/tmp/spot101_54502_1546209498.90239_log.csv,105,4
1,24.0,102,1260ccb12f91c36262c56a7482119da5,/tmp/spot101_54531_1546209499.008014_log.csv,119,17
1,24.0,101,24274a1a56eaa47619d9ade93bd8a292,/tmp/spot101_54578_1546209499.548554_log.csv,139,38
0,24.0,101,f2760fe20f3259cf769f8fc2aeb4fc36,/tmp/spot101_55256_1546209509.813586_log.csv,127,26
1,24.0,101,ce1342a6c7c2c424307f9da86b481c59,/tmp/spot101_54392_1546209497.1816761_log.csv,124,23
0,24.0,101,ac0eac72bfbff84de03243847612e3ce,/tmp/spot101_55172_1546209508.8003461_log.csv,138,37
0,24.0,101,e250d7a98f00942b40fe934c165fc67b,/tmp/spot101_55198_1546209509.0633862_log.csv,110,9
1,24.0,101,62e4061887465f6e793f8b26994df2f1,/tmp/spot101_54533_1546209499.061271_log.csv,126,25
0,24.0,101,a9dd4ff624328f72a05985f76661ea21,/tmp/spot101_54693_1546209501.206481_log.csv,117,16
0,24.0,101,a9dd4ff624328f72a05985f76661ea21,/tmp/spot101_55268_1546209509.998126_log.csv,117,16
0,24.0,101,56e964368ebb8a2611d9eab0a3a2a339,/tmp/spot101_55349_1546209510.976408_log.csv,121,20
0,24.0,101,e250d7a98f00942b40fe934c165fc67b,/tmp/spot101_55262_1546209509.9371479_log.csv,110,9
0,24.0,101,02e95c383995440ceb65b872176aa9d8,/tmp/spot101_54874_1546209504.256672_log.csv,123,22
0,24.0,101,56e964368ebb8a2611d9eab0a3a2a339,/tmp/spot101_54842_1546209503.727963_log.csv,121,20
0,24.0,101,a9dd4ff624328f72a05985f76661ea21,/tmp/spot101_55251_1546209509.738569_log.csv,117,16
0,24.0,101,8f2ed82b4b066a70e2edb7c78b2b1c72,/tmp/spot101_55131_1546209508.200931_log.csv,120,19
0,24.0,101,ce1342a6c7c2c424307f9da86b481c59,/tmp/spot101_55417_1546209512.1036339_log.csv,124,23
0,25.0,101,1260ccb12f91c36262c56a7482119da5,/tmp/spot101_54740_1546209502.058562_log.csv,119,18
0,25.0,101,56e964368ebb8a2611d9eab0a3a2a339,/tmp/spot101_54847_1546209503.9272509_log.csv,121,20
0,25.0,101,1260ccb12f91c36262c56a7482119da5,/tmp/spot101_55328_1546209510.796484_log.csv,119,18
0,25.0,101,56e964368ebb8a2611d9eab0a3a2a339,/tmp/spot101_55279_1546209510.085779_log.csv,121,20
0,25.0,101,28fafb6d8bc012fc30db876992ebc8e3,/tmp/spot101_55775_1546209518.043256_log.csv,102,1
0,25.0,101,a9dd4ff624328f72a05985f76661ea21,/tmp/spot101_54807_1546209503.1447449_log.csv,117,16
0,25.0,101,bc756ed3ac9bb6dc5d604f693fa33f2b,/tmp/spot101_55671_1546209516.5866811_log.csv,134,33
0,25.0,101,a9dd4ff624328f72a05985f76661ea21,/tmp/spot101_54661_1546209500.784517_log.csv,117,16
0,25.0,101,bc756ed3ac9bb6dc5d604f693fa33f2b,/tmp/spot101_54738_1546209501.967335_log.csv,134,33
0,25.0,101,2b1cfb2b0f39fdf1cbbf5feafd2e560a,/tmp/spot101_55427_1546209512.206768_log.csv,105,4
0,25.0,101,f2760fe20f3259cf769f8fc2aeb4fc36,/tmp/spot101_55050_1546209506.933713_log.csv,127,26
1,25.0,101,a9dd4ff624328f72a05985f76661ea21,/tmp/spot101_54496_1546209498.788289_log.csv,117,16
